id	created_at	source	original_text	clean_text	sentiment	polarity	subjectivity	favorite_count	retweet_count	original_author	possibly_sensitive	hashtags	user_mentions	place	place_coord_boundaries
id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.185499523457663e+18,Sat Oct 19 10:14:46 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@atiku Happy new starting General.. Our Africa, our Nigeria #NigeriaDecides2019",atiku Happy new starting General.. Our Africa Nigeria NigeriaDecides2019,"Sentiment(polarity=0.2465909090909091, subjectivity=0.5136363636363637)",0.2465909090909091,0.5136363636363637,en,0.0,0.0,erickkimanijr,,NigeriaDecides2019,atiku,"Birmingham, AL/NY/DC/FL",
1.1854924513368187e+18,Sat Oct 19 09:46:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,AbdulPaiko_,,NigeriaDecides2019,"ogundamisi, osita_chidoka",,
1.1854908763714724e+18,Sat Oct 19 09:40:24 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,UIncorp,,NigeriaDecides2019,"ogundamisi, osita_chidoka",,
1.1854896640750223e+18,Sat Oct 19 09:35:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,abdoulkaura,,NigeriaDecides2019,"ogundamisi, osita_chidoka",,
1.185486713759699e+18,Sat Oct 19 09:23:52 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,scarfizal,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Abuja,
1.1854855610558505e+18,Sat Oct 19 09:19:17 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,MSRingim,,NigeriaDecides2019,"ogundamisi, osita_chidoka","Abuja, Nigeria via North West ",
1.1854850844403507e+18,Sat Oct 19 09:17:24 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,Topsyken,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Nations of the Earth.,
1.1854846494658929e+18,Sat Oct 19 09:15:40 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,jeffphilips1,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Naija,
1.1854837636917862e+18,Sat Oct 19 09:12:09 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,jideyusuf,,NigeriaDecides2019,"ogundamisi, osita_chidoka","Lagos, Nigeria",
1.1854835655193313e+18,Sat Oct 19 09:11:21 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,doctii,,NigeriaDecides2019,"ogundamisi, osita_chidoka",,
